timestamp,latitude,longitude,altitude
1544835012.936,33.20387,-84.9308,87
1544835022.3,33.21099,-84.91909,85
1544835026.396,33.21432,-84.91374,84
1544835035.338,33.22164,-84.90196,82
1544835040.285,33.22562,-84.89552,81
1544835044.582,33.22922,-84.88986,80
1544835048.62,33.23261,-84.88451,80
1544835057.063,33.24045,-84.87458,80
1544835061.2,33.24489,-84.87078,80
1544835068.386,33.25285,-84.86357,80
1544835077.974,33.26244,-84.85659,78
1544835082.824,33.26812,-84.85388,77
1544835090.957,33.27816,-84.85218,76
1544835097.878,33.28658,-84.85265,75
1544835100.104,33.28919,-84.85289,75
1544835109.242,33.30014,-84.85367,73
1544835118.037,33.31065,-84.85438,70
1544835122.077,33.31547,-84.85469,69
1544835129.866,33.32454,-84.85532,67
1544835138.496,33.33569,-84.85626,64
1544835143.6,33.34163,-84.85681,63
1544835147.635,33.34658,-84.85736,62
1544835151.683,33.35154,-84.85791,60
1544835158.896,33.36008,-84.85892,58
1544835168.649,33.37261,-84.86041,56
1544835172.899,33.37802,-84.86112,55
1544835176.989,33.38317,-84.86182,54
1544835181.285,33.38859,-84.86252,53
1544835188.616,33.39785,-84.86362,51
1544835192.746,33.403,-84.86417,50
1544835198.309,33.41017,-84.86495,49
1544835206.126,33.42022,-84.8659,47
1544835211.188,33.42635,-84.86645,46
1544835219.318,33.43652,-84.86739,44
1544835224.164,33.44252,-84.86794,43
1544835228.463,33.44781,-84.86841,43
1544835233.365,33.45394,-84.86904,42
1544835237.603,33.45916,-84.86951,41
1544835242.302,33.46489,-84.87014,40
1544835249.586,33.47363,-84.87108,40
1544835255.129,33.48055,-84.87187,40
1544835259.987,33.48635,-84.87257,40
1544835264.173,33.49131,-84.87312,40
1544835270.556,33.50037,-84.8743,40
1544835276.959,33.50592,-84.87508,40
1544835281.098,33.51022,-84.87571,40
1544835286,33.51518,-84.87634,40
1544835293.196,33.52326,-84.87744,40
1544835302.466,33.53174,-84.87854,40
1544835307.469,33.53683,-84.87924,40
1544835311.705,33.54113,-84.87979,40
1544835319.945,33.54935,-84.88089,40
1544835325.745,33.55516,-84.88168,40
1544835329.534,33.55894,-84.88215,40
1544835333.734,33.56305,-84.88278,40
1544835338.532,33.56781,-84.8834,40
1544835345.946,33.57544,-84.8845,40
1544835351.006,33.5802,-84.88505,40
1544835355.141,33.58431,-84.88537,40
1544835363.378,33.59207,-84.88234,40
1544835367.824,33.59573,-84.87962,40
1544835372.673,33.59912,-84.87603,40
1544835380.904,33.6033,-84.86887,40
1544835385.252,33.60513,-84.86489,40
1544835389.397,33.60683,-84.86115,40
1544835396.826,33.61035,-84.85399,40
1544835406.361,33.61414,-84.84596,40
1544835410.457,33.61544,-84.84222,40
1544835413.686,33.61616,-84.83856,40
1544835423.334,33.61669,-84.83045,39
1544835427.478,33.61715,-84.82679,38
1544835435.816,33.61832,-84.81938,36
1544835440.055,33.61898,-84.81564,35
1544835444.246,33.6195,-84.8119,34
1544835448.291,33.61989,-84.80839,33
1544835456.974,33.62035,-84.80098,32
1544835461.169,33.62048,-84.79747,31
1544835465.965,33.62048,-84.79358,30
1544835470.971,33.62041,-84.78952,30
1544835475.004,33.62028,-84.7864,30
1544835479.911,33.62015,-84.78266,30
1544835487.256,33.61996,-84.77728,30
1544835492.128,33.61983,-84.77354,30
1544835496.174,33.61976,-84.7705,30
1544835505.164,33.61969,-84.7638,30
1544835513.595,33.61963,-84.75748,30
1544835517.741,33.61956,-84.75436,30
1544835521.928,33.61956,-84.75124,30
1544835530.686,33.61962,-84.74438,30
1544835535.724,33.61969,-84.74056,30
1544835538.946,33.61969,-84.73823,30
1544835543.896,33.61975,-84.73448,30
1544835551.936,33.61975,-84.72825,30
1544835556.886,33.61975,-84.72419,30
1544835561.023,33.61974,-84.721,30
1544835565.175,33.61974,-84.71772,30
1544835572.746,33.61981,-84.71195,30
1544835577.691,33.6198,-84.70798,30
1544835581.546,33.6198,-84.70502,30
1544835586.789,33.61986,-84.70096,30
1544835590.982,33.6198,-84.69769,30
1544835595.731,33.61979,-84.69402,30
1544835599.922,33.61986,-84.69075,30
1544835607.356,33.61992,-84.68475,30
1544835611.996,33.61991,-84.68155,30
1544835616.116,33.61998,-84.67835,30
1544835621.584,33.62004,-84.67399,30
1544835630.426,33.62003,-84.66721,30
1544835634.516,33.62009,-84.66409,30
1544835638.511,33.62009,-84.66105,30
1544835646.186,33.62015,-84.6552,30
1544835655.225,33.62014,-84.64826,30
1544835660.031,33.62014,-84.6446,30
1544835664.118,33.62007,-84.64148,30
1544835671.986,33.62,-84.63548,30
1544835677.144,33.61999,-84.63158,30
1544835681.216,33.61999,-84.62862,30
1544835694,33.61979,-84.62172,30.88
1544835695,33.61983,-84.62089,30.88
1544835696,33.61987,-84.62007,30.88
1544835697,33.61991,-84.61924,30.88
1544835698,33.61995,-84.61842,30.88
1544835699,33.61949,-84.61787,30.88
1544835700,33.61947,-84.61708,30.88
1544835701,33.61946,-84.61628,30.88
1544835702,33.61944,-84.61549,30.88
1544835703,33.61938,-84.61461,30.88
1544835704,33.61936,-84.6138,30.88
1544835705,33.61934,-84.613,30.88
1544835706,33.61933,-84.61219,30.88
1544835707,33.61931,-84.61139,30.88
1544835708,33.61947,-84.6108,30.88
1544835709,33.61946,-84.61003,30.88
1544835710,33.61946,-84.60925,30.88
1544835711,33.61945,-84.60848,30.88
1544835712,33.61965,-84.60779,30.88
1544835713,33.61966,-84.60703,30.88
1544835714,33.61968,-84.60627,30.88
1544835715,33.6197,-84.60551,30.88
1544835716,33.61971,-84.60475,30.88
1544835717,33.61991,-84.60379,30.88
1544835718,33.61995,-84.603,30.88
1544835719,33.61999,-84.60222,30.88
1544835720,33.62003,-84.60144,30.88
1544835721,33.62007,-84.60065,30.88
1544835722,33.61977,-84.59989,30.88
1544835723,33.61978,-84.59911,30.88
1544835724,33.61979,-84.59833,30.88
1544835725,33.6198,-84.59755,30.88
1544835726,33.61973,-84.59684,30.88
1544835727,33.61974,-84.59607,30.88
1544835728,33.61974,-84.5953,30.88
1544835729,33.61975,-84.59452,30.88
1544835730,33.61975,-84.59375,30.88
1544835731,33.6198,-84.59306,30.88
1544835732,33.6198,-84.59229,30.88
1544835733,33.61981,-84.59152,30.88
1544835734,33.61982,-84.59075,30.88
1544835735,33.61982,-84.58999,30.88
1544835736,33.61985,-84.58907,30.88
1544835737,33.61985,-84.58829,30.88
1544835738,33.61986,-84.58751,30.88
1544835739,33.61987,-84.58673,30.88
1544835740,33.61996,-84.58599,30.88
1544835741,33.61997,-84.58521,30.88
1544835742,33.61998,-84.58444,30.88
1544835743,33.61999,-84.58366,30.88
1544835744,33.62,-84.58288,30.88
1544835745,33.61995,-84.58193,30.88
1544835746,33.61996,-84.58113,30.88
1544835747,33.61997,-84.58034,30.88
1544835748,33.61998,-84.57955,30.88
1544835749,33.61994,-84.57885,30.88
1544835750,33.61994,-84.57807,30.88
1544835751,33.61995,-84.57728,30.88
1544835752,33.61995,-84.5765,30.88
1544835753,33.61996,-84.57572,30.88
1544835754,33.61995,-84.5748,30.88
1544835755,33.61995,-84.57401,30.88
1544835756,33.61996,-84.57321,30.88
1544835757,33.61996,-84.57242,30.88
1544835758,33.61997,-84.57163,30.88
1544835759,33.61987,-84.57087,30.88
1544835760,33.61987,-84.57008,30.88
1544835761,33.61987,-84.56929,30.88
1544835762,33.61987,-84.5685,30.88
1544835763,33.61985,-84.56759,30.25
1544835764,33.61985,-84.56679,30.19
1544835765,33.61985,-84.56598,30.13
1544835766,33.61985,-84.56518,30.06
1544835767,33.61984,-84.56438,30
1544835768,33.61988,-84.56346,29.19
1544835769,33.61988,-84.56265,29
1544835770,33.61988,-84.56183,28.88
1544835771,33.61988,-84.56102,28.75
1544835772,33.61988,-84.56021,28.63
1544835773,33.61993,-84.55954,28.56
1544835774,33.61993,-84.55874,28.44
1544835775,33.61993,-84.55794,28.25
1544835776,33.61993,-84.55714,28.13
1544835777,33.61991,-84.55652,27.81
1544835778,33.61991,-84.55573,27.63
1544835779,33.61991,-84.55495,27.44
1544835780,33.61991,-84.55416,27.25
1544835781,33.61991,-84.55338,27.06
1544835782,33.61995,-84.55254,27.38
1544835783,33.61996,-84.55175,27.25
1544835784,33.61996,-84.55096,27.06
1544835785,33.61996,-84.55017,26.88
1544835786,33.62003,-84.54946,26.75
1544835787,33.62003,-84.54867,26.63
1544835788,33.62004,-84.54789,26.44
1544835789,33.62005,-84.5471,26.25
1544835790,33.62005,-84.54632,26.13
1544835791,33.61997,-84.54563,26.44
1544835792,33.61997,-84.54485,26.31
1544835793,33.61997,-84.54407,26.19
1544835794,33.61997,-84.5433,26.06
1544835795,33.61997,-84.54252,25.94
1544835796,33.61997,-84.54205,25.75
1544835797,33.61998,-84.5413,25.63
1544835798,33.61998,-84.54055,25.5
1544835799,33.61998,-84.5398,25.38
1544835800,33.62005,-84.53919,25.56
1544835801,33.62005,-84.53845,25.5
1544835802,33.62006,-84.5377,25.38
1544835803,33.62006,-84.53696,25.31
1544835804,33.62007,-84.53622,25.19
1544835805,33.61995,-84.53543,24.88
1544835806,33.61994,-84.53469,24.75
1544835807,33.61994,-84.53395,24.69
1544835808,33.61994,-84.5332,24.56
1544835809,33.61995,-84.5326,24.69
1544835810,33.61995,-84.53186,24.63
1544835811,33.61995,-84.53113,24.56
1544835812,33.61995,-84.5304,24.44
1544835813,33.61995,-84.52966,24.38
1544835814,33.61991,-84.52891,24
1544835815,33.61991,-84.52817,23.88
1544835816,33.6199,-84.52744,23.75
1544835817,33.6199,-84.5267,23.63
1544835818,33.61989,-84.52597,23.56
1544835819,33.62,-84.52515,23.63
1544835820,33.62,-84.52441,23.56
1544835821,33.62,-84.52367,23.5
1544835822,33.62,-84.52293,23.38
1544835823,33.61995,-84.52212,23
1544835824,33.61995,-84.52137,22.88
1544835825,33.61995,-84.52063,22.81
1544835826,33.61995,-84.51988,22.69
1544835827,33.61995,-84.51914,22.56
1544835828,33.61999,-84.51832,22.69
1544835829,33.61999,-84.51757,22.56
